NLC,TLC,Station Name,Region,Local Authority,OS Grid Easting,OS Grid Northing,Station Facility Owner,1617_Entry_Exits
5587,FLW,Fulwell,London,Richmond upon Thames (London),514830,171840,South West Trains,424266
2952,FNV,Furness Vale,East Midlands,High Peak,400840,383540,Northern,21800
3144,FZP,Furze Platt,South East,Windsor and Maidenhead,488294,182334,Great Western Railway,180134
6465,GNB,Gainsborough Central,East Midlands,West Lindsey,481900,389900,Northern,996
6424,GBL,Gainsborough Lea Road,East Midlands,West Lindsey,482000,388400,East Midlands Trains,156776
9329,GAL,Galashiels,Scotland,Scottish Borders,349278,636380,ScotRail,346264
9971,GCH,Garelochhead,Scotland,Argyll and Bute,224250,691050,ScotRail,8556
8474,GRF,Garforth,Yorkshire And The Humber,Leeds,440785,433540,Northern,701310
2654,GGV,Gargrave,Yorkshire And The Humber,Craven,393200,453600,Northern,27856
9904,GAR,Garrowhill,Scotland,Glasgow City,266800,664500,ScotRail,465362
9979,GRS,Garscadden,Scotland,Glasgow City,252182,668590,ScotRail,209064
2104,GSD,Garsdale,North West,South Lakeland,378870,491810,Northern,12520
1559,GSN,Garston (Hertfordshire),East,Watford,511965,199890,London Midland Trains,72670
2335,GSW,Garswood,North West,St. Helens,355500,399300,Northern,323106
9723,GRH,Gartcosh,Scotland,North Lanarkshire,270029,667790,ScotRail,133838
3961,GMG,Garth (Mid-Glamorgan),Wales - Cymru,Pen-y-bont ar Ogwr - Bridgend,286400,189900,Arriva Trains Wales,12036
4148,GTH,Garth (Powys),Wales - Cymru,Powys - Powys,295380,249430,Arriva Trains Wales,974
8640,GVE,Garve,Scotland,Highland,239500,861300,ScotRail,3668
2397,GST,Gathurst,North West,Wigan,354100,407200,Northern,97870
2953,GTY,Gatley,North West,Stockport,384720,388477,Northern,356506
5416,GTW,Gatwick Airport,South East,Crawley,528700,141300,Govia Thameslink Railway,19361658
8641,GGJ,Georgemas Junction,Scotland,Highland,315500,959300,ScotRail,1502
3051,GER,Gerrards Cross,South East,South Bucks,500184,188785,Chiltern Railways,1486410
6877,GDP,Gidea Park,London,Havering (London),552940,189310,TfL Rail,2797104
9794,GFN,Giffnock,Scotland,East Renfrewshire,256375,659125,ScotRail,358670
2655,GIG,Giggleswick,Yorkshire And The Humber,Craven,380275,462915,Northern,11408
8117,GBD,Gilberdyke,Yorkshire And The Humber,East Riding of Yorkshire,483700,428700,Northern,59814
4022,GFF,Gilfach Fargoed,Wales - Cymru,Caerffili - Caerphilly,315300,199100,Arriva Trains Wales,3152
5796,GIL,Gillingham (Dorset),South West,North Dorset,380980,126110,South West Trains,434378
5169,GLM,Gillingham (Kent),South East,Medway,577520,168365,Southeastern,2731126
9956,GSC,Gilshochill,Scotland,Glasgow City,257365,669490,ScotRail,65076
5363,GIP,Gipsy Hill,London,Lambeth (London),533321,171235,Govia Thameslink Railway,1715420
9501,GIR,Girvan,Scotland,South Ayrshire,219030,598380,ScotRail,143372
